,流域,行政区,河名,站名,时间,水位(米),流量(米^3/秒),警戒水位(米)
833,长江流域,江西省,崇仁水,崇仁,11-11 14:00,50.99,4,54.0
834,长江流域,江西省,相水,马口,11-11 14:00,74.82,1,79.0
835,上饶以上,江西省,信江,上饶,11-11 14:00,64.97,0,66.0
836,上饶到弋阳,江西省,信江,河口,11-11 14:00,44.64,0,52.0
837,上饶到弋阳,江西省,信江,弋阳,11-11 14:00,37.08,128,44.0
838,弋阳到梅港,江西省,信江,贵溪,11-11 14:00,30.05,0,34.0
839,弋阳到梅港,江西省,信江,鹰潭,11-11 14:00,26.31,0,30.0
840,弋阳以下,江西省,信江,梅港,11-11 14:00,20.13,413,26.0
841,上饶以上,江西省,玉山水,玉山,11-11 14:00,73.92,0,78.0
842,上饶以上,江西省,丰溪河,广丰,11-11 14:00,88.7,0,92.0
843,上饶到弋阳,江西省,含珠水,铁路坪,11-11 14:00,58.11,0,0.0
844,白塔河,江西省,白塔河,耙石,11-11 14:00,28.43,0,31.0
845,长江流域,江西省,泸溪水,柏泉,11-11 14:00,155.2,2,158.0
846,长江流域,江西省,昌江,潭口,11-11 14:00,53.58,15,58.0
847,长江流域,江西省,昌江,樟树坑,11-11 14:00,27.61,7,34.5
848,长江流域,江西省,昌江,渡峰坑,11-11 14:00,21.7,14,28.5
849,长江,江西省,饶河,鄱阳,11-11 14:00,14.38,0,19.5
850,香屯以上,江西省,乐安河,香屯,11-11 14:00,30.55,12,38.0
851,长江流域,江西省,乐安河,虎山,11-11 14:00,18.87,66,26.0
852,长江,江西省,乐安河,石镇街,11-11 14:00,14.24,0,20.0
853,婺源以上,江西省,乐安河,婺源,11-11 14:00,53.32,16,58.0
854,婺源以上,江西省,段莘水,汪口,11-11 14:00,67.78,2,0.0
855,长江,江西省,修河,高沙,11-11 14:00,94.53,0,0.0
856,长江,江西省,修河,永修,11-11 14:00,14.43,0,20.0
857,长江流域,江西省,潦水,万家埠,11-11 14:00,19.77,61,27.0
858,长江流域,江西省,南潦水,晋坪,11-11 14:00,43.08,2,47.5
859,长江流域,江西省,南潦水,奉新,11-11 14:00,21.7,0,25.0
860,长江流域,江西省,北潦南河,靖安,11-11 14:00,57.94,9,61.1
861,长江,江西省,湖口水道,星子,11-11 14:00,11.25,0,19.0
862,长江,江西省,鄱阳湖湖口,湖口,11-11 14:00,11.15,2450,19.5
863,长江,江西省,鄱阳湖,都昌,11-11 14:00,11.12,0,19.0
864,长江,江西省,鄱阳湖,康山,11-11 14:00,13.16,0,19.5
865,长江流域,江西省,赣江西支,昌邑,11-11 14:00,12.46,0,20.0
866,长江,江西省,博阳河,梓坊,11-11 14:00,22.58,9,26.0
867,长江,江苏省,秦淮河,东山,11-11 14:00,7.09,0,8.8
868,长江,江苏省,句容河,前垾村,11-11 14:00,7.15,0,0.0
869,长江,江苏省,句容河,句容水文站,11-11 14:00,7.233,0,0.0
870,长江,江苏省,老龙河,黄桥,11-11 14:00,2.49,0,3.8
871,长江,安徽省,皖河中下游,石牌,11-11 14:00,12.21,11,20.1
872,长江,安徽省,长河,周家河,11-11 14:00,94.11,0,0.0
873,长江,安徽省,长河,花凉亭东山头二,11-11 14:00,33.75,3,36.9
874,长江,安徽省,皖水,岳西,11-11 14:00,366.17,0,0.0
875,长江,安徽省,丰乐河,桃溪,11-11 14:00,9.25,8,15.56
876,长江,安徽省,南淝河,合肥,11-11 14:00,10.33,0,12.0
877,长江,安徽省,西河,缺口,11-11 14:00,8.54,0,10.5
878,长江,安徽省,青弋江,泾县,11-11 14:00,27.08,66,32.5
879,长江,安徽省,青弋江,西河镇,11-11 14:00,8.4,0,15.0
880,长江,安徽省,青弋江,大砻坊,11-11 14:00,5.52,0,11.2
881,长江,安徽省,水阳江,宣城,11-11 14:00,9.31,0,16.0
882,长江,安徽省,水阳江,新河庄,11-11 14:00,7.49,0,11.5
883,长江,安徽省,中东津河,河沥溪,11-11 14:00,47.3,0,51.23
884,长江,安徽省,姑溪河,当涂,11-11 14:00,5.15,0,10.3
885,长江,江苏省,固城湖,高淳,11-11 14:00,8.71,0,10.4
886,长江,安徽省,滁河,古河,11-11 14:00,8.96,0,0.0
887,长江,江苏省,滁河,晓桥,11-11 14:00,7.53,0,9.5
888,长江,江苏省,滁河,六合,11-11 14:00,7.48,0,8.2
889,长江,安徽省,清流河,滁州,11-11 14:00,11.13,0,14.0
890,长江,江苏省,马汊河,葛塘,11-11 14:00,4.33,0,8.86
891,长江,安徽省,徽水,旌德,11-11 14:00,193.0,0,194.5
892,长江流域太湖区,浙江省,南苕溪,余杭,11-11 14:00,3.29,0,7.16
893,长江流域太湖区,浙江省,东苕溪,瓶窑,11-11 14:00,1.4,0,5.66
894,长江流域太湖区,浙江省,苕溪,杭长桥,11-11 14:00,1.41,0,2.66
895,长江流域太湖区,浙江省,西苕溪,梅溪,11-11 14:00,1.41,0,5.17
896,长江流域太湖区,浙江省,西苕溪,港口,11-11 14:00,1.44,0,3.76
897,太湖,江苏省,宜溧漕河,溧阳(二),11-11 14:00,3.42,0,4.5
898,太湖,江苏省,西氿,宜兴（西）,11-11 14:00,3.37,0,4.2
899,太湖,江苏省,太滆运河,坊前,11-11 14:00,3.52,0,4.1
900,太湖,江苏省,太湖,大浦口,11-11 14:00,3.35,0,3.85
901,太湖,江苏省,太湖,望亭（太）,11-11 14:00,3.42,0,3.8
902,太湖,江苏省,琳桥港,琳桥,11-11 14:00,3.45,0,3.8
903,太湖,江苏省,太湖,胥口(闸上游),11-11 14:00,3.4,0,3.8
904,太湖,江苏省,太湖,洞庭西山(三),11-11 14:00,3.33,0,3.8
905,长江流域太湖区,浙江省,小梅港,小梅口,11-11 14:00,3.331,0,3.701
906,长江流域太湖区,浙江省,夹浦港,夹浦,11-11 14:00,3.311,0,3.701
907,太湖流域,江苏省,太湖,太湖水位,11-11 14:00,3.35,0,3.8
908,长江流域太湖区,浙江省,长兴港,长兴,11-11 14:00,1.44,1,2.66
909,太湖,江苏省,大运河,丹阳,11-11 14:00,3.47,0,5.6
910,太湖,江苏省,大运河（改线段）,常州(三),11-11 14:00,3.54,0,4.3
911,太湖,江苏省,大运河,无锡南门,11-11 14:00,3.22,0,0.0
912,太湖,江苏省,大运河,苏州（枫桥）,11-11 14:00,3.43,0,3.8
913,太湖,江苏省,望虞河,甘露,11-11 14:00,3.39,0,3.8
914,太湖,江苏省,白茆塘,常熟,11-11 14:00,3.3,0,3.7
915,太湖,江苏省,阳澄湖,湘城,11-11 14:00,3.28,0,3.7
916,太湖,江苏省,娄江,昆山,11-11 14:00,3.21,0,3.7
917,太湖,江苏省,太浦河,平望,11-11 14:00,3.13,0,3.7
918,太湖,江苏省,瓜泾港,瓜泾口,11-11 14:00,3.23,0,0.0
919,长江流域太湖区,浙江省,杭嘉平运河,崇德,11-11 14:00,1.31,0,1.86
920,长江流域太湖区,浙江省,杭嘉平运河,嘉兴,11-11 14:00,1.14,0,1.46
921,长江流域太湖区,浙江省,杭嘉平运河,王江泾,11-11 14:00,1.13,0,1.36
922,长江流域太湖区,浙江省,运河,新市,11-11 14:00,1.39,0,1.86
923,长江流域太湖区,浙江省,澜溪塘,乌镇,11-11 14:00,1.32,0,1.56
924,长江流域太湖区,浙江省,頔塘,南浔,11-11 14:00,1.41,1,1.66
925,长江流域太湖区,浙江省,下塘河,临平(下),11-11 14:00,1.37,0,2.16
926,长江流域太湖区,浙江省,海盐塘,欤城,11-11 14:00,1.22,0,1.46
927,太湖,江苏省,陈墓荡,陈墓(锦溪),11-11 14:00,3.17,0,3.6
928,浙闽台河流,浙江省,衢江,衢州,11-11 14:00,58.37,7,61.2
929,浙闽台河流,浙江省,兰江,兰溪,11-11 14:00,23.23,113,28.0
930,浙闽台河流,浙江省,富春江,富春江坝下,11-11 14:00,3.31,0,0.0
931,浙闽台河流,浙江省,金华江,金华,11-11 14:00,30.32,0,35.5
932,钱塘江,安徽省,新安江,屯溪,11-11 14:00,122.2,0,124.8
933,浙闽台河流,浙江省,新安江,新安江坝下,11-11 14:00,23.41,0,0.0
934,钱塘江,安徽省,练江,渔梁,11-11 14:00,110.55,4,114.5
935,浙闽台河流,浙江省,分水江,分水江,11-11 14:00,16.35,3,23.0
936,浙闽台河流,浙江省,浦阳江,诸暨（浣纱桥）,11-11 14:00,8.05,7,10.64
937,浙闽台河流,浙江省,浦阳江,湄池,11-11 14:00,3.46,0,8.2
938,浙闽台河流,浙江省,曹娥江,嵊州,11-11 14:00,14.42,14,16.1
939,浙闽台河流,浙江省,永安溪,柏枝岙,11-11 14:00,9.29,0,17.0
940,闽江,福建省,西溪,宁化,11-11 14:00,6.07,0,314.5
941,闽江,福建省,沙溪,永安,11-11 14:00,157.44,216,163.0
942,闽江,福建省,沙溪,梅列,11-11 14:00,125.89,0,127.0
943,闽江,福建省,沙溪,沙县,11-11 14:00,102.91,68,106.5
944,闽江,福建省,富屯溪,邵武,11-11 14:00,189.18,0,189.8
945,闽江,福建省,富屯溪,拿口,11-11 14:00,156.75,0,0.0
946,闽江,福建省,富屯溪,洋口,11-11 14:00,105.89,94,109.3
947,闽江,福建省,金溪,建宁,11-11 08:00,287.05,0,291.5
948,闽江,福建省,金溪,将乐,11-11 14:00,143.5,0,147.0
949,闽江,福建省,南浦溪,水吉,11-11 14:00,137.54,82,141.0
950,闽江,福建省,建溪,七里街,11-11 14:00,88.28,225,97.0
951,闽江,福建省,建溪,建阳,11-11 14:00,126.1,41,131.0
952,闽江,福建省,建溪,武夷山,11-11 14:00,200.33,27,202.0
953,闽江,福建省,麻阳溪,麻沙,11-11 14:00,185.73,12,188.3
954,闽江,福建省,松溪,松溪,11-11 14:00,186.26,5,188.8
955,闽江,福建省,松溪,东游,11-11 14:00,125.17,1,129.5
956,闽江,福建省,七星溪,政和,11-11 14:00,195.07,2,198.3
957,闽江,福建省,闽江,延福门,11-11 14:00,62.86,0,68.5
958,闽江,福建省,闽江,竹岐,11-11 14:00,-0.57,0,9.8
959,闽江,福建省,闽江,文山里,11-11 14:00,-0.12,0,0.0
960,闽江,福建省,尤溪,大田,11-11 14:00,352.97,4,355.0
961,闽江,福建省,尤溪,尤溪大桥,11-11 14:00,102.04,0,104.5
962,闽江,福建省,梅溪,闽清,11-11 14:00,13.09,13,15.8
963,闽江,福建省,大樟溪,永泰,11-11 14:00,27.23,7,31.0
964,晋江,福建省,晋江西溪,湖头,11-11 14:00,97.49,13,100.0
965,晋江,福建省,晋江西溪,安溪,11-11 14:00,39.35,0,42.0
966,晋江,福建省,晋江东溪,永春,11-11 14:00,114.42,0,115.2
967,晋江,福建省,晋江东溪,洪濑,11-11 14:00,18.18,0,20.5
968,闽东南诸河,福建省,九龙江,漳平,11-11 14:00,154.85,63,158.0
969,闽东南诸河,福建省,九龙江,浦南,11-11 14:00,4.2,0,9.0
970,闽东南诸河,福建省,西溪,郑店,11-11 14:00,2.9,0,7.5
971,闽东南诸河,福建省,西溪,中山桥,11-11 14:00,2.94,0,6.0
972,闽东南诸河,福建省,芗江,龙山,11-11 14:00,41.41,0,44.0
973,闽东南诸河,福建省,船场溪,船场,11-11 14:00,70.66,0,74.5
974,闽东南诸河,福建省,花山溪,平和,11-11 14:00,29.52,0,32.5
975,闽东诸河,福建省,交溪,白塔,11-11 14:00,20.27,38,26.0
976,闽东诸河,福建省,交溪,上白石,11-11 14:00,58.05,0,62.71
977,闽东诸河,福建省,霍童溪,洋中坂,11-11 14:00,16.42,7,21.25
978,闽南沿海诸河,福建省,木兰溪,濑溪,11-11 08:00,5.18,15,8.4
979,闽东南诸河,福建省,诏安东溪,诏安,11-11 14:00,1.89,0,4.0
980,珠江,云南省,南盘江,西桥,11-11 14:00,1827.46,43,1830.91
981,珠江,云南省,南盘江,高古马,11-11 14:00,1516.84,4,1521.8
982,珠江,云南省,南盘江,小龙潭,11-11 14:00,1037.29,47,1043.36
983,珠江,云南省,南盘江,江边街,11-11 14:00,963.2,81,969.3
984,珠江,广西壮族自治区,红水河,天峨,11-11 14:00,222.48,909,234.5
985,珠江,广西壮族自治区,红水河,都安,11-11 14:00,112.39,686,136.6
986,珠江,广西壮族自治区,红水河,迁江,11-11 14:00,58.68,331,81.7
987,珠江,广西壮族自治区,黔江,武宣,11-11 14:00,51.16,0,55.7
988,珠江,广西壮族自治区,浔江,大湟江口(二),11-11 14:00,21.66,3610,31.7
989,珠江,广西壮族自治区,浔江,平南,11-11 14:00,21.05,0,29.0
990,珠江,广西壮族自治区,浔江,藤县,11-11 14:00,20.48,0,23.0
991,珠江,广西壮族自治区,西江,梧州（四）,11-11 14:00,4.6,4100,18.5
992,珠江,广东省,西江,德庆(二),11-11 14:00,1.22,0,15.0
993,西江,广东省,西江,高要,11-11 14:00,0.59,6730,10.0
994,珠江,贵州省,马别河,马岭（水位1）,11-11 14:00,948.0,4,958.0
995,珠江,贵州省,乌都河,草坪头(水位1),11-11 14:00,1213.54,14,1218.0
996,珠江,广西壮族自治区,刁江,马陇,11-11 14:00,113.03,30,123.4
997,珠江,广西壮族自治区,清水河,上林(二),11-11 14:00,105.6,4,108.3
998,珠江,贵州省,都柳江,把本（临）,11-11 14:00,387.16,501,388.7
999,珠江,贵州省,都柳江,石灰厂,11-11 14:00,239.42,46,250.0
1000,珠江,广西壮族自治区,都柳江,涌尾,11-11 14:00,138.35,262,146.1
1001,珠江,广西壮族自治区,融江,长安,11-11 14:00,112.48,283,114.6
1002,珠江,广西壮族自治区,融江,融水,11-11 14:00,102.23,218,106.6
1003,珠江,广西壮族自治区,融江,柳城,11-11 14:00,93.12,0,93.8
1004,珠江,广西壮族自治区,柳江,柳州,11-11 14:00,77.56,376,82.5
1005,珠江,广西壮族自治区,柳江,象州,11-11 14:00,51.84,1170,69.0
1006,珠江,贵州省,寨蒿河,寨蒿,11-11 14:00,322.42,9,326.0
1007,珠江,广西壮族自治区,古宜河,勒黄,11-11 14:00,204.98,92,209.5
1008,珠江,广西壮族自治区,古宜河,古宜,11-11 14:00,150.95,0,152.6
1009,珠江,广西壮族自治区,浪溪河,富乐,11-11 14:00,152.84,12,157.5
1010,珠江,广西壮族自治区,阳江,小长安,11-11 14:00,99.92,13,107.4
1011,珠江,贵州省,樟江,荔波,11-11 14:00,411.99,82,419.5
1012,珠江,广西壮族自治区,龙江,金城江,11-11 14:00,181.97,108,188.0
1013,珠江,广西壮族自治区,龙江,三岔,11-11 14:00,96.5,372,107.6
1014,珠江,广西壮族自治区,环江,环江,11-11 14:00,192.1,11,198.0
1015,珠江,广西壮族自治区,东小江,天河,11-11 14:00,165.99,16,170.0
1016,珠江,广西壮族自治区,中洲小江,安马,11-11 14:00,140.23,28,152.2
1017,珠江,广西壮族自治区,洛清江,黄冕,11-11 14:00,94.37,76,102.7
1018,珠江,广西壮族自治区,洛清江,对亭,11-11 14:00,72.15,70,81.7
1019,珠江,广西壮族自治区,马来河,中里,11-11 14:00,108.68,0,112.5
1020,珠江,广西壮族自治区,白沙江,南义,11-11 14:00,91.3,2,96.0
1021,珠江,广西壮族自治区,蒙江,大化,11-11 14:00,107.57,4,111.0
1022,珠江,广西壮族自治区,蒙江,太平,11-11 14:00,34.05,46,37.2
1023,珠江,广西壮族自治区,大同江,水晏,11-11 14:00,79.69,0,84.5
1024,珠江,广西壮族自治区,北流河,北流,11-11 14:00,87.51,4,91.1
1025,珠江,广西壮族自治区,北流河,容县,11-11 14:00,73.59,0,74.2
1026,珠江,广西壮族自治区,北流河,象棋,11-11 14:00,36.5,50,38.7
1027,珠江,广西壮族自治区,北流河,金鸡（二）,11-11 14:00,28.16,102,33.0
1028,珠江,广西壮族自治区,杨梅河,杨梅,11-11 14:00,93.23,5,97.4
1029,珠江,广西壮族自治区,黄华江,南渡,11-11 14:00,78.82,26,84.6
1030,珠江,广西壮族自治区,义昌河,岑溪,11-11 14:00,90.24,8,94.6
1031,珠江,广西壮族自治区,郁江,南宁（三）,11-11 14:00,66.99,688,73.0
1032,珠江,广西壮族自治区,郁江,贵港,11-11 14:00,32.5,1080,41.2
1033,珠江,广西壮族自治区,左江,崇左,11-11 14:00,87.31,476,101.2
1034,珠江,广西壮族自治区,左江,扶绥,11-11 14:00,75.68,287,81.8
1035,珠江,广西壮族自治区,明江,宁明,11-11 14:00,110.15,79,117.9
1036,珠江,广西壮族自治区,黑水河,新和,11-11 14:00,109.87,132,121.2
1037,珠江,广西壮族自治区,向水河,大新,11-11 14:00,241.24,11,246.1
1038,珠江,广西壮族自治区,驮娘江,八达,11-11 14:00,688.48,13,689.8
1039,珠江,广西壮族自治区,右江,百色(三),11-11 14:00,114.88,63,116.2
1040,珠江,广西壮族自治区,右江,隆安,11-11 14:00,75.79,154,85.0
1041,珠江,云南省,普厅河,富宁,11-11 14:00,679.12,2,681.6
1042,珠江,广西壮族自治区,鉴河,荣华,11-11 14:00,222.79,26,226.3
1043,珠江,广西壮族自治区,武思江,大江口,11-11 14:00,104.96,12,108.5
1044,珠江,广西壮族自治区,大溶江,大溶江,11-11 14:00,183.69,16,187.2
1045,珠江,广西壮族自治区,桂江,桂林,11-11 14:00,142.01,110,146.0
1046,珠江,广西壮族自治区,桂江,阳朔,11-11 14:00,104.25,152,109.5
1047,珠江,广西壮族自治区,桂江,平乐,11-11 14:00,97.54,106,99.5
1048,珠江,广西壮族自治区,桂江,昭平,11-11 14:00,54.12,183,58.0
1049,珠江,广西壮族自治区,灵渠,灵渠,11-11 14:00,184.39,5,187.2
1050,珠江,广西壮族自治区,荔浦河,荔浦,11-11 14:00,140.21,45,143.2
1051,珠江,广西壮族自治区,恭城河,恭城,11-11 14:00,128.38,51,132.0
1052,珠江,广西壮族自治区,富群水,富罗（二）,11-11 14:00,64.89,7,68.2
1053,珠江,广西壮族自治区,贺江,富阳,11-11 14:00,185.99,2,187.8
1054,珠江,广西壮族自治区,贺江,信都（三）,11-11 14:00,46.15,40,50.7
1055,珠江,广东省,贺江,古榄,11-11 14:00,23.99,0,0.0
1056,珠江,广东省,罗定江,官良,11-11 14:00,24.84,31,31.0
1057,珠江,广东省,新兴江,腰古（二）,11-11 14:00,6.84,28,16.0
1058,珠江,广东省,浈江,小古菉,11-11 14:00,103.18,5,108.0
1059,珠江,广东省,北江,韶关(二),11-11 14:00,52.96,0,53.0
1060,珠江,广东省,北江,沙口,11-11 14:00,36.27,0,39.0
1061,珠江,广东省,北江,英德(五),11-11 14:00,23.88,0,26.0
1062,珠江,广东省,北江,飞来峡,11-11 14:00,10.41,326,18.0
1063,珠江,广东省,北江,清远(三),11-11 14:00,10.21,0,12.0
1064,珠江,广东省,北江,石角,11-11 14:00,0.41,227,11.0
1065,珠江,广东省,武江,坪石(二),11-11 14:00,153.08,89,157.5
1066,珠江,广东省,武江,犁市(二),11-11 14:00,60.27,106,61.0
1067,珠江,广东省,滃江,滃江,11-11 14:00,93.78,14,101.0
1068,珠江,广东省,连江,高道,11-11 14:00,23.88,0,0.0
1069,珠江,广东省,滨江,珠坑,11-11 14:00,18.52,7,24.5
1070,珠江,广东省,绥江,古水,11-11 14:00,28.41,0,30.6
1071,珠江,广东省,绥江,四会,11-11 14:00,7.43,60,10.8
1072,珠江,广东省,东江,龙川,11-11 14:00,67.02,5,68.5
1073,珠江,广东省,东江,河源,11-11 14:00,33.7,178,37.5
1074,珠江,广东省,东江,岭下,11-11 14:00,10.66,0,19.5
1075,珠江,广东省,东江,惠阳(二),11-11 14:00,10.54,0,13.0
1076,珠江,广东省,东江,博罗(二),11-11 14:00,0.06,294,11.2
1077,珠江,广东省,西枝江,平山(二),11-11 14:00,16.71,37,20.0
1078,珠江,广东省,增江,麒麟咀(二),11-11 14:00,5.87,3,8.5
1079,珠江,广东省,西江干流水道,马口,11-11 14:00,0.25,9180,7.5
1080,磨刀门,广东省,西海水道,天河(二),11-11 14:00,0.54,3890,5.74
1081,珠江,广东省,北江干流水道,三水(二),11-11 14:00,0.24,2070,7.5
1082,珠江,广东省,洪奇沥水道,冯马庙(二),11-11 14:00,0.13,0,0.0
1083,珠江,广西壮族自治区,南流江,横江,11-11 14:00,59.67,5,62.7
1084,珠江,广西壮族自治区,南流江,博白,11-11 14:00,46.02,12,50.2
1085,珠江,广西壮族自治区,南流江,常乐,11-11 14:00,10.57,29,16.0
1086,珠江,广西壮族自治区,合江,合江,11-11 14:00,42.15,4,46.1
1087,珠江,广西壮族自治区,钦江,陆屋,11-11 14:00,19.92,3,26.5
1088,珠江,广西壮族自治区,防城河,防城,11-11 14:00,1.92,0,5.5
1089,韩江,广东省,梅江,梅县(四),11-11 14:00,73.56,0,76.0
1090,韩江,广东省,梅江,横山(二),11-11 14:00,44.79,12,50.0
1091,韩江,广东省,韩江,潮安,11-11 14:00,13.01,145,13.5
1092,韩江,福建省,汀江,观音桥,11-11 14:00,305.32,8,307.8
1093,韩江,福建省,汀江,上杭,11-11 14:00,173.65,7,180.0
1094,韩江,广东省,汀江,溪口,11-11 14:00,7.5,0,11.0
1095,韩江,福建省,永定河,永定,11-11 14:00,176.63,8,179.3
1096,珠江,广东省,漠阳江,双捷,11-11 14:00,0.06,65,6.8
1097,珠江,广东省,潭水河,荆山,11-11 14:00,17.12,15,21.1
1098,鉴江,广东省,鉴江,高州(四),11-11 14:00,27.95,63,30.5
1099,鉴江,广东省,鉴江,化州(城),11-11 14:00,8.21,20,13.3
1100,粤西沿海诸河,广东省,九洲江,缸瓦窑(三),11-11 14:00,3.36,0,7.0
1101,南渡江,海南省,南渡江,金江,11-11 14:00,27.4,0,28.5
1102,南渡江,海南省,南渡江,定安（三）,11-11 08:00,8.82,0,16.0
1103,南渡江,海南省,南渡江,龙塘,11-11 14:00,8.63,0,12.5
1104,万泉河,海南省,万泉河,加积(二),11-11 14:00,2.02,0,9.5
1105,陵水河,海南省,陵水河,陵水,11-11 14:00,3.2,0,5.0
1106,昌化江,海南省,昌化江,宝桥,11-11 14:00,14.63,0,24.0
